	Espece	File	Name	Category	URL
74	chien	155	Chien Courant de Bosnie à Poil Raide	Groupe 6	https://i.imgur.com/iVUbDfv.jpg
75	chien	105	Barbet	Groupe 8	https://i.imgur.com/vEf2DRI.jpg
76	chien	245	Barbu Tchèque	Groupe 7	https://i.imgur.com/UqyWFUt.jpg
77	chien	193	Barzoï	Groupe 10	https://i.imgur.com/066nzWN.jpg
78	chien	43	Basenji	Groupe 5	https://i.imgur.com/IU74Mqz.jpg
79	chien	34	Basset artésien normand	Groupe 6	https://i.imgur.com/yD9bNrH.jpg
80	chien	35	Basset bleu de Gascogne	Groupe 6	https://i.imgur.com/vycJ8oY.jpg
81	chien	100	Basset de Westphalie	Groupe 6	https://i.imgur.com/qOl1xq1.jpg
82	chien	254	Basset des Alpes	Groupe 6	https://i.imgur.com/WQZ36hT.jpg
83	chien	36	Basset fauve de Bretagne	Groupe 6	https://i.imgur.com/8TTPwM5.jpg
84	chien	163	Basset Hound	Groupe 6	https://i.imgur.com/1feNrqL.jpg
85	chien	130	Drever	Groupe 6	https://i.imgur.com/sWGaKx6.jpg
86	chien	161	Beagle	Groupe 6	https://i.imgur.com/TScrdCE.jpg
87	chien	290	Beagle-Harrier	Groupe 6	https://i.imgur.com/xpkJUPC.jpg
88	chien	44	Beauceron	Groupe 1	https://i.imgur.com/7uYh6Y1.jpg
89	chien	9	Bedlington Terrier	Groupe 3	https://i.imgur.com/OOaagks.jpg
90	chien	194	Berger de Bergame	Groupe 1	https://i.imgur.com/IWqo1mm.jpg
91	chien	166	Berger Allemand	Groupe 1	https://i.imgur.com/2qbdGwz.jpg
92	chien	342	Berger Australien	Groupe 1	https://i.imgur.com/P6P2Aza.jpg
93	chien	367	Berger Australien Miniature	Groupe 1	https://i.imgur.com/Qy36E22.jpg
94	chien	15	Berger Belge	Groupe 1	https://i.imgur.com/Gt2fhXI.jpg
95	chien	347	Berger Blanc Suisse	Groupe 1	https://i.imgur.com/qLJgBST.jpg
96	chien	237	Buhund Norvégien	Groupe 5	https://i.imgur.com/9Uliam6.jpg
97	chien	87	Berger Catalan	Groupe 1	https://i.imgur.com/N7lEbW1.jpg
98	chien	277	Berger Croate	Groupe 1	https://i.imgur.com/9QrfPDz.jpg
99	chien	335	Berger d'Asie Centrale	Groupe 2	https://i.imgur.com/laRHqZS.jpg
100	chien	364	Berger de Bohême	Groupe 1	https://i.imgur.com/keCc9c3.jpg
101	chien	355	Tornjak	Groupe 2	https://i.imgur.com/0tr7K4o.jpg
102	chien	201	Berger de Maremme-Abruzzes	Groupe 1	https://i.imgur.com/ez1tIsT.jpg
103	chien	321	Berger de Majorque	Groupe 1	https://i.imgur.com/s5o250B.jpg
104	chien	326	Berger de Russie Méridionale	Groupe 1	https://i.imgur.com/ZTCdROn.jpg
105	chien	138	Berger des Pyrénées à face rase	Groupe 1	https://i.imgur.com/0tgWMJk.jpg
106	chien	141	Berger des Pyrénées	Groupe 1	https://i.imgur.com/WgQs63l.jpg
107	chien	88	Berger des Shetland	Groupe 1	https://i.imgur.com/g1f5fzA.jpg
108	chien	328	Berger du Caucase	Groupe 2	https://i.imgur.com/cCKy9zE.jpg
109	chien	278	Berger du Karst	Groupe 2	https://i.imgur.com/SxrzAW3.jpg
110	chien	284	Berger Finnois de Laponie	Groupe 5	https://i.imgur.com/nFy4Kvx.jpg
111	chien	223	Berger Hollandais	Groupe 1	https://i.imgur.com/UAIdk9C.jpg
112	chien	289	Berger d'Islande	Groupe 5	https://i.imgur.com/2tmT1Oc.jpg
113	chien	176	Berger Picard	Groupe 1	https://i.imgur.com/XEY22vB.jpg
114	chien	252	Berger Polonais de Podhale	Groupe 1	https://i.imgur.com/3eUo9QY.jpg
115	chien	93	Berger Portugais	Groupe 1	https://i.imgur.com/wFeG1OE.jpg
116	chien	357	Berger roumain de Bucovine	Groupe 2	https://i.imgur.com/M0f6Coc.jpg
117	chien	349	Berger Roumain de Mioritza	Groupe 1	https://i.imgur.com/Du8jEc0.jpg
118	chien	350	Berger Roumain des Carpathes	Groupe 1	https://i.imgur.com/mAHjk75.jpg
119	chien	142	Tchouvatch Slovaque	Groupe 1	https://i.imgur.com/gLKOC8s.jpg
120	chien	59	Chien courant Bernois	Groupe 6	https://i.imgur.com/QTRO1xm.jpg
121	chien	215	Bichon Frisé	Groupe 9	https://i.imgur.com/ABJrnRX.jpg
122	chien	250	Bichon Havanais	Groupe 9	https://i.imgur.com/kGfjzhA.jpg
123	chien	25	Billy	Groupe 6	https://i.imgur.com/dWReF0J.jpg
124	chien	180	Braque d'Auvergne	Groupe 7	https://i.imgur.com/QT97lav.jpg
125	chien	16	Bobtail	Groupe 1	https://i.imgur.com/nNolyoy.jpg
126	chien	196	Bichon Bolonais	Groupe 9	https://i.imgur.com/SNk5xY2.jpg
127	chien	297	Border Collie	Groupe 1	https://i.imgur.com/jXDv4fy.jpg
128	chien	10	Border Terrier	Groupe 3	https://i.imgur.com/U8yjYkf.jpg
129	chien	149	Bouledogue Anglais	Groupe 2	https://i.imgur.com/OY9HGD6.jpg
130	chien	101	Bouledogue Français	Groupe 9	https://i.imgur.com/ow950dT.jpg
131	chien	46	Bouvier d'Appenzell	Groupe 2	https://i.imgur.com/m4adrqp.jpg
132	chien	287	Bouvier Australien	Groupe 1	https://i.imgur.com/YXkdWpA.jpg
133	chien	45	Bouvier Bernois	Groupe 2	https://i.imgur.com/PLSUKe4.jpg
134	chien	47	Bouvier de l'Entlebuch	Groupe 2	https://i.imgur.com/FdKWkhY.jpg
135	chien	171	Bouvier des Ardennes	Groupe 1	https://i.imgur.com/Xb4EPxF.jpg
136	chien	191	Bouvier des Flandres	Groupe 1	https://i.imgur.com/2bPODmp.jpg
137	chien	144	Boxer	Groupe 2	https://i.imgur.com/ve5qrbK.jpg
138	chien	299	Brachet Allemand	Groupe 6	https://i.imgur.com/e2SISFZ.jpg
139	chien	63	Brachet Autrichien Noir et Feu	Groupe 6	https://i.imgur.com/840YCeJ.jpg
140	chien	62	Brachet de Styrie à Poil Dur	Groupe 6	https://i.imgur.com/080Zb2R.jpg
141	chien	52	Brachet Polonais	Groupe 6	https://i.imgur.com/o2uDuEC.jpg
142	chien	68	Brachet Tyrolien	Groupe 6	https://i.imgur.com/2Mljgjb.jpg
143	chien	119	Braque Allemand à Poil Court	Groupe 7	https://i.imgur.com/jw6oWrM.jpg
144	chien	90	Perdiguero de Burgos	Groupe 7	https://i.imgur.com/aGcqi09.jpg
145	chien	177	Braque de l'Ariège	Groupe 7	https://i.imgur.com/mHN37RE.jpg
146	chien	179	Braque du Bourbonnais	Groupe 7	https://i.imgur.com/jJO4P5c.jpg
147	chien	133	Braque français type Gascogne	Groupe 7	https://i.imgur.com/MxefPtR.jpg
148	chien	134	Braque français type Pyrénées	Groupe 7	https://i.imgur.com/uZyPXEI.jpg
149	chien	57	Vizsla à Poil Court	Groupe 7	https://i.imgur.com/OUtdRZ3.jpg
150	chien	239	Vizsla à Poil Dur	Groupe 7	https://i.imgur.com/B1aG7Fo.jpg
151	chien	202	Braque Italien	Groupe 7	https://i.imgur.com/pfhilka.jpg
152	chien	115	Braque Saint-Germain	Groupe 7	https://i.imgur.com/9u88blV.jpg
153	chien	320	Braque Slovaque à Poil Dur	Groupe 7	https://i.imgur.com/IiSjd3C.jpg
154	chien	113	Berger de Brie	Groupe 1	https://i.imgur.com/kWaAsmg.jpg
155	chien	19	Briquet Griffon Vendéen	Groupe 6	https://i.imgur.com/51aOvcU.jpg
156	chien	315	Broholmer	Groupe 2	https://i.imgur.com/u8YK7xT.jpg
157	chien	113	Berger de Brie	Groupe 1	https://i.imgur.com/1iJbI7x.jpg
158	chien	19	Briquet Griffon Vendéen	Groupe 6	https://i.imgur.com/fkf35H6.jpg
159	chien	315	Broholmer	Groupe 2	https://i.imgur.com/blP4xij.jpg
160	chien	11	Bull Terrier	Groupe 3	https://i.imgur.com/CkqD3f1.jpg
161	chien	359	Bull Terrier miniature	Groupe 3	https://i.imgur.com/ITiGSMC.jpg
162	chien	157	Bullmastiff	Groupe 2	https://i.imgur.com/ed8FQj6.jpg
163	chien	249	Dogue de Majorque	Groupe 2	https://i.imgur.com/rnRF8BQ.jpg
164	chien	4	Cairn Terrier	Groupe 3	https://i.imgur.com/dYCxDWC.jpg
165	chien	343	Cane Corso	Groupe 2	https://i.imgur.com/dwNSksp.jpg
166	chien	172	Caniche	Groupe 9	https://i.imgur.com/PmlBH1a.jpg
167	chien	253	Carlin	Groupe 9	https://i.imgur.com/p4UwFzm.jpg
168	chien	136	Cavalier King Charles Spaniel	Groupe 9	https://i.imgur.com/lzMvRPA.jpg
169	chien	246	Terrier Tchèque	Groupe 3	https://i.imgur.com/Q27lnCE.jpg
170	chien	366	Chien courant d'Estonie	Groupe 6	https://i.imgur.com/oSmJsem.jpg
