Espece,Info,Race,Categorie,URL
chien,155,Chien Courant de Bosnie à Poil Raide,Groupe 6,https://i.imgur.com/iVUbDfv.jpg
chien,105,Barbet,Groupe 8,https://i.imgur.com/vEf2DRI.jpg
chien,245,Barbu Tchèque,Groupe 7,https://i.imgur.com/UqyWFUt.jpg
chien,193,Barzoï,Groupe 10,https://i.imgur.com/066nzWN.jpg
chien,43,Basenji,Groupe 5,https://i.imgur.com/IU74Mqz.jpg
chien,34,Basset artésien normand,Groupe 6,https://i.imgur.com/yD9bNrH.jpg
chien,35,Basset bleu de Gascogne,Groupe 6,https://i.imgur.com/vycJ8oY.jpg
chien,100,Basset de Westphalie,Groupe 6,https://i.imgur.com/qOl1xq1.jpg
chien,254,Basset des Alpes,Groupe 6,https://i.imgur.com/WQZ36hT.jpg
chien,36,Basset fauve de Bretagne,Groupe 6,https://i.imgur.com/8TTPwM5.jpg
chien,163,Basset Hound,Groupe 6,https://i.imgur.com/1feNrqL.jpg
chien,130,Drever,Groupe 6,https://i.imgur.com/sWGaKx6.jpg
chien,161,Beagle,Groupe 6,https://i.imgur.com/TScrdCE.jpg
chien,290,Beagle-Harrier,Groupe 6,https://i.imgur.com/xpkJUPC.jpg
chien,44,Beauceron,Groupe 1,https://i.imgur.com/7uYh6Y1.jpg
chien,9,Bedlington Terrier,Groupe 3,https://i.imgur.com/OOaagks.jpg
chien,194,Berger de Bergame,Groupe 1,https://i.imgur.com/IWqo1mm.jpg
chien,166,Berger Allemand,Groupe 1,https://i.imgur.com/2qbdGwz.jpg
chien,342,Berger Australien,Groupe 1,https://i.imgur.com/P6P2Aza.jpg
chien,367,Berger Australien Miniature,Groupe 1,https://i.imgur.com/Qy36E22.jpg
chien,15,Berger Belge,Groupe 1,https://i.imgur.com/Gt2fhXI.jpg
chien,347,Berger Blanc Suisse,Groupe 1,https://i.imgur.com/qLJgBST.jpg
chien,237,Buhund Norvégien,Groupe 5,https://i.imgur.com/9Uliam6.jpg
chien,87,Berger Catalan,Groupe 1,https://i.imgur.com/N7lEbW1.jpg
chien,277,Berger Croate,Groupe 1,https://i.imgur.com/9QrfPDz.jpg
chien,335,Berger d'Asie Centrale,Groupe 2,https://i.imgur.com/laRHqZS.jpg
chien,364,Berger de Bohême,Groupe 1,https://i.imgur.com/keCc9c3.jpg
chien,355,Tornjak,Groupe 2,https://i.imgur.com/0tr7K4o.jpg
chien,201,Berger de Maremme-Abruzzes,Groupe 1,https://i.imgur.com/ez1tIsT.jpg
chien,321,Berger de Majorque,Groupe 1,https://i.imgur.com/s5o250B.jpg
chien,326,Berger de Russie Méridionale,Groupe 1,https://i.imgur.com/ZTCdROn.jpg
chien,138,Berger des Pyrénées à face rase,Groupe 1,https://i.imgur.com/0tgWMJk.jpg
chien,141,Berger des Pyrénées,Groupe 1,https://i.imgur.com/WgQs63l.jpg
chien,88,Berger des Shetland,Groupe 1,https://i.imgur.com/g1f5fzA.jpg
chien,328,Berger du Caucase,Groupe 2,https://i.imgur.com/cCKy9zE.jpg
chien,278,Berger du Karst,Groupe 2,https://i.imgur.com/SxrzAW3.jpg
chien,284,Berger Finnois de Laponie,Groupe 5,https://i.imgur.com/nFy4Kvx.jpg
chien,223,Berger Hollandais,Groupe 1,https://i.imgur.com/UAIdk9C.jpg
chien,289,Berger d'Islande,Groupe 5,https://i.imgur.com/2tmT1Oc.jpg
chien,176,Berger Picard,Groupe 1,https://i.imgur.com/XEY22vB.jpg
chien,252,Berger Polonais de Podhale,Groupe 1,https://i.imgur.com/3eUo9QY.jpg
chien,93,Berger Portugais,Groupe 1,https://i.imgur.com/wFeG1OE.jpg
chien,357,Berger roumain de Bucovine,Groupe 2,https://i.imgur.com/M0f6Coc.jpg
chien,349,Berger Roumain de Mioritza,Groupe 1,https://i.imgur.com/Du8jEc0.jpg
