Id,CJ,Points
#8969,Club Jeunes de la Roche-sur-Yon,921
#8914,Club Jeunes de Cholet,910
#7403,Club Jeunes de Puech de Barret - Le Garric,902
#9861,Club Jeunes de Puech de Barret - Le Garric,890
#6617,Club Jeunes de Pornic,863
#5676,Club Jeunes de Chamarande,859
#1284,Club Jeunes de Saint Pierre du Mont,794
#8476,Club Jeunes de Vaux-le-Pénil,557
#4290,Club Jeunes de Luynes,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1398,Club Jeunes de Briançon,0
#1221,Club Jeunes de Chameyrat,0
#0489,Club Jeunes d'Yvré-l'Evêque,0
