Id,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,946
#5676,Club Jeunes de Chamarande,931
#6617,Club Jeunes de Pornic,929
#0489,Club Jeunes d'Yvré-l'Evêque,915
#8969,Club Jeunes de la Roche-sur-Yon,914
#1398,Club Jeunes de Briançon,902
#9861,Club Jeunes de Puech de Barret - Le Garric,885
#1284,Club Jeunes de Saint Pierre du Mont,870
#4290,Club Jeunes de Luynes,859
#8914,Club Jeunes de Cholet,852
#8476,Club Jeunes de Vaux-le-Pénil,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1221,Club Jeunes de Chameyrat,0
