Id,CJ,Points
#7403,Club Jeunes de Puech de Barret - Le Garric,912
#5676,Club Jeunes de Chamarande,910
#6617,Club Jeunes de Pornic,867
#9861,Club Jeunes de Puech de Barret - Le Garric,850
#8969,Club Jeunes de la Roche-sur-Yon,835
#1398,Club Jeunes de Briançon,778
#4290,Club Jeunes de Luynes,759
#8914,Club Jeunes de Cholet,0
#8476,Club Jeunes de Vaux-le-Pénil,0
#1974,Club Jeunes de Vaux-le-Pénil,0
#1284,Club Jeunes de Saint Pierre du Mont,0
#1221,Club Jeunes de Chameyrat,0
#0489,Club Jeunes d'Yvré-l'Evêque,0
