Username,Time
#0978,12.4292175
#0184,11.778254500000001
#1871,11.700320153846151
#8476,10.68064675
#4741,10.388793166666666
#2647,10.013735800000001
#4290,9.587637460526315
#3239,9.357195
#7963,8.957302071428574
#4125,8.948434666666667
#7903,8.86565568181818
#9861,8.305439811320756
#1221,8.250121782608694
#3918,8.1875238
#1284,8.103214458333332
#3516,7.265158
#1398,7.187503537037036
#0084,7.145559269230769
#1683,6.883770818181817
#9965,6.632934416666668
#6617,6.6033999375
#0489,6.204141981818181
#0749,6.17885075
#8969,6.158424178571429
#7758,6.042888068181819
#7445,5.9977702
#7851,5.845686
#5676,5.6849490000000005
#7403,5.390880615384615
#8914,5.1029267222222225
#7769,4.968307928571428
#1974,4.550880548387097
