Username,Points
#4290,76
#0489,55
#1398,54
#9861,53
#0084,52
#1284,48
#7758,44
#3516,40
#7403,39
#6617,32
#1974,31
#8969,28
#7963,28
#9965,24
#1221,23
#7903,22
#7851,20
#5676,19
#4741,18
#8914,18
#3239,16
#1871,13
#8476,12
#1683,11
#7445,10
#4125,9
#0749,8
#0184,6
#3918,5
#0978,2
