,CJ,Points
0,Club Jeunes de Châteaubourg,30410
1,Club Jeunes de la Roche-sur-Yon,10124
2,Club Jeunes de Saint-Omer,8075
3,Club Jeunes de Saint Pierre du Mont,26403
4,Club Jeunes de Puech de Barret - Le Garric,29073
5,Club Jeunes de Luynes,16865
6,Club Jeunes de Chamarande,9986
7,Club Jeunes d'Yvré-l'Evêque,21066
8,Club Jeunes de Vaux-le-Pénil,9474
9,Club Jeunes de Rennes,3805
10,Club Jeunes de Pornic,2851
11,Club Jeunes de Laon,7176
12,Club Jeunes de Cluses,11240
13,Club Jeunes de Chameyrat,6549
14,Club Jeunes de Briançon,9759
15,Club Jeunes de Bordeaux,8973
