Id,CJ,Points
#0489,Club Jeunes d'Yvré-l'Evêque,13065
#3516,Club Jeunes de Saint Pierre du Mont,12730
#9861,Club Jeunes de Puech de Barret - Le Garric,10550
#0084,Club Jeunes de Châteaubourg,9986
#1398,Club Jeunes de Briançon,9759
#8969,Club Jeunes de la Roche-sur-Yon,8953
#4125,Club Jeunes de Chamarande,7657
#0749,Club Jeunes de Laon,7176
#0184,Club Jeunes de Saint-Omer,3188
#1871,Club Jeunes de Bordeaux,2954
#3918,Club Jeunes de Rennes,1830
#4741,Club Jeunes de Luynes,1692
#5676,Club Jeunes de Chamarande,804
